"Date","Price","Open","High","Low","Vol.","Change %"
"10/15/2019","9,330.4","9,298.5","9,330.4","9,234.8","1.14M","0.34%"
"10/14/2019","9,298.5","9,362.2","9,394.1","9,298.5","1.45M","0.69%"
"10/11/2019","9,234.8","9,234.8","9,330.4","9,171.2","1.37M","0.00%"
"10/10/2019","9,234.8","9,298.5","9,394.1","9,234.8","1.96M","-0.69%"
"10/09/2019","9,298.5","9,425.9","9,457.8","9,266.7","1.83M","-1.35%"
"10/08/2019","9,425.9","9,521.4","9,617.0","9,394.1","1.66M","0.00%"
"10/07/2019","9,425.9","9,489.6","9,712.5","9,330.4","4.51M","0.34%"
"10/04/2019","9,394.1","9,744.4","9,744.4","9,362.2","1.49M","-2.32%"
"10/03/2019","9,617.0","9,394.1","9,712.5","9,394.1","2.68M","1.00%"
"10/02/2019","9,521.4","9,617.0","9,744.4","9,489.6","3.83M","0.00%"
"10/01/2019","9,521.4","9,234.8","9,521.4","9,234.8","2.10M","3.10%"
"09/30/2019","9,234.8","9,171.2","9,521.4","9,171.2","2.84M","0.69%"
"09/27/2019","9,171.2","9,234.8","9,330.4","9,139.3","1.77M","-0.69%"
"09/26/2019","9,234.8","9,298.5","9,394.1","9,139.3","2.30M","0.35%"
"09/25/2019","9,203.0","8,916.4","9,203.0","8,852.7","2.45M","2.85%"
"09/24/2019","8,948.2","8,757.2","8,980.1","8,757.2","1.04M","1.81%"
"09/23/2019","8,789.0","8,661.6","8,980.1","8,661.6","1.42M","1.47%"
"09/20/2019","8,661.6","8,948.2","8,980.1","8,661.6","860.17K","-3.20%"
"09/19/2019","8,948.2","9,011.9","9,075.6","8,852.7","834.22K","-0.71%"
"09/18/2019","9,011.9","9,107.5","9,203.0","8,916.4","874.62K","-1.74%"
"09/17/2019","9,171.2","8,980.1","9,203.0","8,980.1","1.30M","1.05%"
"09/16/2019","9,075.6","9,011.9","9,203.0","8,916.4","1.94M","1.42%"
"09/13/2019","8,948.2","8,852.7","8,980.1","8,820.9","817.85K","0.72%"
"09/12/2019","8,884.6","8,725.3","8,916.4","8,661.6","1.06M","3.33%"
"09/11/2019","8,598.0","8,502.4","8,629.8","8,438.7","750.50K","1.12%"
"09/10/2019","8,502.4","8,693.5","8,884.6","8,502.4","1.10M","-2.91%"
"09/09/2019","8,757.2","8,884.6","8,884.6","8,725.3","718.54K","-1.43%"
"09/06/2019","8,884.6","9,043.8","9,043.8","8,884.6","444.73K","-1.41%"
"09/05/2019","9,011.9","8,980.1","9,139.3","8,948.2","629.42K","0.00%"
"09/04/2019","9,011.9","8,820.9","9,011.9","8,757.2","1.02M","1.80%"
"09/03/2019","8,852.7","9,203.0","9,203.0","8,789.0","1.21M","-3.14%"
"08/30/2019","9,139.3","9,107.5","9,234.8","8,948.2","1.64M","0.35%"
"08/29/2019","9,107.5","9,139.3","9,298.5","9,107.5","1.37M","-0.35%"
"08/28/2019","9,139.3","9,266.7","9,394.1","9,139.3","1.50M","-1.37%"
"08/27/2019","9,266.7","9,362.2","9,521.4","9,203.0","3.29M","1.04%"
"08/26/2019","9,171.2","8,725.3","9,234.8","8,693.5","3.42M","3.60%"
"08/23/2019","8,852.7","8,629.8","8,852.7","8,566.1","1.94M","2.58%"
"08/22/2019","8,629.8","8,566.1","8,820.9","8,566.1","1.07M","0.37%"
"08/21/2019","8,598.0","8,598.0","8,852.7","8,598.0","2.22M","0.37%"
"08/20/2019","8,566.1","8,024.8","8,566.1","8,024.8","3.98M","6.75%"
"08/19/2019","8,024.8","7,897.4","8,024.8","7,897.4","584.00K","0.40%"
"08/16/2019","7,992.9","7,992.9","8,024.8","7,897.4","782.98K","0.00%"
"08/15/2019","7,992.9","7,897.4","7,992.9","7,738.2","663.18K","1.21%"
"08/14/2019","7,897.4","8,152.1","8,152.1","7,770.0","474.75K","1.72%"
"08/13/2019","7,763.9","7,642.6","7,794.3","7,642.6","700.00K","0.00%"
"08/12/2019","7,763.9","7,763.9","7,763.9","7,642.6","529.68K","-0.39%"
"08/09/2019","7,794.3","7,794.3","7,854.9","7,703.3","386.28K","0.00%"
"08/08/2019","7,794.3","7,582.0","7,824.6","7,582.0","994.48K","1.98%"
"08/07/2019","7,642.6","7,642.6","7,733.6","7,582.0","878.02K","0.40%"
"08/06/2019","7,612.3","7,733.6","7,794.3","7,582.0","933.25K","-2.71%"
"08/05/2019","7,824.6","7,915.6","8,036.9","7,824.6","1.05M","-1.15%"
"08/02/2019","7,915.6","8,006.6","8,006.6","7,885.3","598.01K","-1.51%"
"08/01/2019","8,036.9","7,915.6","8,097.5","7,915.6","636.69K","0.76%"
"07/31/2019","7,976.2","7,885.3","8,127.9","7,854.9","2.40M","-1.87%"
"07/30/2019","8,127.9","8,309.8","8,309.8","8,067.2","1.37M","-2.55%"
"07/29/2019","8,340.2","8,279.5","8,370.5","8,279.5","930.25K","0.37%"
"07/26/2019","8,309.8","8,340.2","8,461.5","8,309.8","410.15K","-1.44%"
"07/25/2019","8,431.2","8,249.2","8,552.5","8,249.2","1.95M","2.21%"
"07/24/2019","8,249.2","8,370.5","8,431.2","8,249.2","581.13K","-1.45%"
"07/23/2019","8,370.5","8,431.2","8,431.2","8,249.2","827.74K","0.00%"
"07/22/2019","8,370.5","8,431.2","8,552.5","8,340.2","1.41M","-0.36%"
"07/19/2019","8,400.8","8,340.2","8,704.1","8,309.8","1.10M","0.73%"
"07/18/2019","8,340.2","8,431.2","8,552.5","8,340.2","1.30M","-2.48%"
"07/17/2019","8,552.5","8,067.2","8,552.5","7,976.2","3.18M","6.82%"
"07/16/2019","8,006.6","8,036.9","8,067.2","7,976.2","1.64M","0.00%"
"07/15/2019","8,006.6","7,945.9","8,067.2","7,945.9","1.46M","0.76%"
"07/12/2019","7,945.9","7,976.2","8,127.9","7,945.9","939.25K","-0.76%"
"07/11/2019","8,006.6","7,945.9","8,097.5","7,915.6","667.65K","0.76%"
"07/10/2019","7,945.9","8,006.6","8,067.2","7,854.9","800.06K","-1.13%"
"07/09/2019","8,036.9","7,945.9","8,036.9","7,854.9","1.39M","1.15%"
"07/08/2019","7,945.9","8,097.5","8,097.5","7,945.9","495.91K","-0.76%"
"07/05/2019","8,006.6","8,067.2","8,097.5","7,976.2","241.99K","-0.75%"
"07/04/2019","8,067.2","7,915.6","8,127.9","7,915.6","821.75K","2.31%"
"07/03/2019","7,885.3","7,945.9","8,006.6","7,854.9","556.63K","-1.14%"
