Date,Price,Open,High,Low,Vol.,Change %
2/11/2020,"11,000.00","10,739.10","11,087.00","10,652.20",2.34M,2.43%
2/10/2020,"10,739.10","10,521.70","11,043.50","10,434.80",4.15M,-0.80%
2/7/2020,"10,826.10","10,434.80","10,826.10","10,304.30",5.39M,6.87%
2/6/2020,"10,130.40","9,782.60","10,130.40","9,652.20",2.85M,6.88%
2/5/2020,"9,478.30","9,347.80","9,739.10","9,347.80",8.43M,1.87%
2/4/2020,"9,304.30","9,521.70","9,826.10","9,173.90",4.78M,-1.38%
2/3/2020,"9,434.80","9,565.20","9,826.10","9,347.80",6.44M,-6.06%
1/31/2020,"10,043.50","10,782.60","10,869.60","10,043.50",3.35M,-6.85%
1/30/2020,"10,782.60","11,130.40","11,130.40","10,739.10",3.19M,-4.98%
1/22/2020,"11,347.80","11,173.90","11,391.30","11,173.90",1.13M,1.56%
1/21/2020,"11,173.90","11,217.40","11,304.30","11,043.50",1.86M,-0.39%
1/20/2020,"11,217.40","11,304.30","11,565.20","11,173.90",1.02M,-0.77%
1/17/2020,"11,304.30","11,652.20","11,652.20","11,217.40",1.70M,-2.26%
1/16/2020,"11,565.20","11,652.20","11,782.60","11,521.70",874.54K,-0.75%
1/15/2020,"11,652.20","11,652.20","11,739.10","11,608.70",529.87K,0.37%
1/14/2020,"11,608.70","11,826.10","11,913.00","11,565.20",1.34M,-1.48%
1/13/2020,"11,782.60","11,652.20","11,913.00","11,652.20",646.82K,1.12%
1/10/2020,"11,652.20","11,782.60","11,826.10","11,608.70",865.10K,-1.11%
1/9/2020,"11,782.60","11,782.60","11,913.00","11,739.10",1.97M,1.88%
1/8/2020,"11,565.20","11,913.00","11,956.50","11,521.70",2.12M,-4.32%
1/7/2020,"12,087.00","11,913.00","12,130.40","11,913.00",867.62K,1.46%
1/6/2020,"11,913.00","12,000.00","12,173.90","11,826.10",1.17M,-1.44%
1/3/2020,"12,087.00","12,434.80","12,565.20","12,000.00",2.76M,-2.80%
1/2/2020,"12,434.80","12,608.70","12,608.70","12,347.80",1.35M,-1.38%
12/31/2019,"12,608.70","12,565.20","12,695.60","12,434.80",1.53M,-1.02%
12/30/2019,"12,739.10","12,695.60","12,913.00","12,652.20",2.16M,0.34%
12/27/2019,"12,695.60","12,434.80","12,826.10","12,434.80",2.52M,0.69%
12/26/2019,"12,608.70","12,260.90","12,695.60","12,260.90",4.08M,2.84%
12/25/2019,"12,260.90","12,173.90","12,347.80","12,043.50",1.36M,0.71%
12/24/2019,"12,173.90","11,913.00","12,173.90","11,826.10",1.50M,2.56%
12/23/2019,"11,869.60","11,956.50","12,087.00","11,826.10",1.03M,-0.73%
12/20/2019,"11,956.50","12,130.40","12,217.40","11,782.60",2.44M,-1.43%
12/19/2019,"12,130.40","12,087.00","12,304.30","12,000.00",778.78K,-0.36%
12/18/2019,"12,173.90","12,173.90","12,304.30","12,130.40",1.19M,-0.36%
12/17/2019,"12,217.40","12,608.70","12,608.70","12,087.00",1.19M,-2.09%
12/16/2019,"12,478.30","12,347.80","12,608.70","12,347.80",1.60M,0.35%
12/13/2019,"12,434.80","12,826.10","12,826.10","12,434.80",1.64M,-2.05%
12/12/2019,"12,695.60","12,347.80","12,739.10","12,304.30",1.82M,2.82%
12/11/2019,"12,347.80","11,869.60","12,478.30","11,826.10",2.15M,4.03%
12/10/2019,"11,869.60","11,869.60","12,130.40","11,782.60",1.80M,0.00%
12/9/2019,"11,869.60","12,087.00","12,260.90","11,869.60",1.24M,-1.80%
12/6/2019,"12,087.00","12,043.50","12,173.90","12,043.50",457.79K,0.00%
12/5/2019,"12,087.00","12,173.90","12,304.30","12,043.50",824.08K,-0.71%
12/4/2019,"12,173.90","12,000.00","12,173.90","11,956.50",748.21K,1.45%
12/3/2019,"12,000.00","12,087.00","12,347.80","11,913.00",1.79M,-1.43%
12/2/2019,"12,173.90","12,478.30","12,478.30","12,173.90",1.25M,-1.06%
11/29/2019,"12,304.30","12,260.90","12,521.70","12,130.40",841.13K,1.07%
11/28/2019,"12,173.90","12,652.20","12,695.60","12,173.90",1.63M,-3.78%
11/27/2019,"12,652.20","12,304.30","12,782.60","12,130.40",2.47M,2.83%
11/26/2019,"12,304.30","12,521.70","12,652.20","12,000.00",3.75M,-0.35%
11/25/2019,"12,347.80","12,869.60","12,869.60","12,347.80",3.53M,-4.70%
11/22/2019,"12,956.50","13,565.20","13,652.20","12,826.10",5.56M,-4.49%
11/21/2019,"13,565.20","13,478.30","13,652.20","13,478.30",1.55M,-0.64%
11/20/2019,"13,652.20","13,608.70","13,695.60","13,478.30",1.90M,1.29%
11/19/2019,"13,478.30","13,565.20","13,652.20","13,434.80",917.56K,0.00%
11/18/2019,"13,478.30","13,739.10","13,869.60","13,478.30",1.96M,-1.27%
11/15/2019,"13,652.20","13,652.20","13,826.10","13,565.20",916.58K,0.32%
11/14/2019,"13,608.70","13,826.10","13,869.60","13,565.20",2.33M,-1.57%
11/13/2019,"13,826.10","14,000.00","14,087.00","13,739.10",3.14M,-1.24%
11/12/2019,"14,000.00","14,173.90","14,260.90","13,826.10",2.81M,-1.23%
11/11/2019,"14,173.90","14,087.00","14,347.80","13,956.50",3.27M,0.62%
11/8/2019,"14,087.00","14,217.40","14,304.30","14,000.00",1.88M,0.00%
11/7/2019,"14,087.00","14,087.00","14,347.80","13,956.50",2.39M,0.00%
11/6/2019,"14,087.00","13,782.60","14,217.40","13,695.60",4.38M,2.21%
11/5/2019,"13,782.60","13,869.60","13,869.60","13,652.20",1.65M,-0.63%
11/4/2019,"13,869.60","13,304.30","13,913.00","13,304.30",3.81M,3.57%
11/1/2019,"13,391.30","13,391.30","13,608.70","13,260.90",2.27M,-0.32%
10/31/2019,"13,434.80","13,826.10","13,869.60","13,304.30",1.40M,-2.83%
10/30/2019,"13,826.10","14,043.50","14,043.50","13,739.10",826.90K,-1.55%
10/29/2019,"14,043.50","14,043.50","14,260.90","13,956.50",1.14M,0.31%
10/28/2019,"14,000.00","13,695.60","14,130.40","13,695.60",1.16M,1.90%
10/25/2019,"13,739.10","13,739.10","13,826.10","13,652.20",608.93K,-0.32%
10/24/2019,"13,782.60","13,739.10","13,782.60","13,608.70",543.39K,0.32%
10/23/2019,"13,739.10","13,739.10","13,782.60","13,565.20",507.74K,0.00%
10/22/2019,"13,739.10","13,478.30","13,739.10","13,347.80",1.67M,0.96%
10/21/2019,"13,608.70","13,913.00","13,956.50","13,521.70",1.32M,-2.19%
10/18/2019,"13,913.00","14,173.90","14,260.90","13,913.00",1.57M,-1.84%
10/17/2019,"14,173.90","14,217.40","14,260.90","14,130.40",1.06M,-0.61%
